nodenumber     x-coordinate     y-coordinate     z-coordinate       wall-shear     x-wall-shear     y-wall-shear     z-wall-shear 
       124  1.151803310E-03  2.768792999E-03  9.547465301E-04  5.734293935E-01 -2.943641686E-03 -1.564849906E-04  5.733319127E-01 
       125  1.658401806E-03 -2.487439512E-03  9.595832684E-04  5.664009977E-01  1.593666144E-03  3.123725369E-03  5.662956674E-01 
       126  2.989970349E-03 -1.963808332E-04  9.709420665E-04  5.481799443E-01  3.707659299E-04  4.608917649E-03  5.480258590E-01 
       127 -1.658454259E-03 -2.496109604E-03  9.765828120E-04  5.280151555E-01 -3.378322308E-03  1.732479539E-03  5.278599677E-01 
       128  2.201023683E-03 -2.037659503E-03  9.964145299E-04  5.221678829E-01  1.854872034E-03  2.606602444E-03  5.220038775E-01 
       129 -2.173288687E-03 -2.052276232E-03  9.993402240E-04  5.342850406E-01 -1.459277114E-04 -9.742665338E-04  5.342481523E-01 
       130  1.773743118E-03  2.406802292E-03  1.027659107E-03  5.368107244E-01  7.157528988E-04  1.758550096E-03  5.367605525E-01 
       131  2.585947160E-03 -1.502696586E-03  1.045704295E-03  5.117484606E-01 -3.548734427E-03 -2.661735499E-03  5.116285911E-01 
       132  2.978373431E-03  3.341531614E-04  1.069954446E-03  5.013583064E-01 -1.510261315E-03  3.266224222E-03  5.012691644E-01 
       133  5.223093877E-04 -2.944200894E-03  1.070599488E-03  5.139652189E-01  9.567107285E-04 -2.193286505E-03  5.138271607E-01 
       134 -2.507336497E-03  1.644451935E-03  1.093527011E-03  5.125823208E-01 -5.397798851E-03 -5.475942069E-03  5.123922438E-01 
       135  8.753973661E-05 -2.987033271E-03  1.121876651E-03  4.847847157E-01  2.038942506E-03 -1.854141168E-03  4.846449608E-01 
       136  7.381396644E-04  2.902382512E-03  1.142030651E-03  4.851489316E-01 -1.437917723E-03  1.457169996E-03  4.850427545E-01 
       137  2.793783082E-03  1.063641241E-03  1.153277690E-03  4.820242878E-01 -1.013494108E-03  1.118522879E-03  4.819045072E-01 
       138 -3.371580403E-04  2.978406571E-03  1.153288181E-03  4.848689616E-01  3.773297845E-03 -2.258678033E-03  4.846691837E-01 
